Trait,"Trait_Cat","Geneset","Geneset_Type","Geneset_Cat","Geneset_SubCat","Geneset_Cat_Detailed","CNV_Type","Effectsize","se","p_value","FDR_p_value","Effectsize_outside","se_outside","p_value_outside","FDR_p_value_outside"
"GuiltyFeelings","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.032922629,0.027627432,0.231861896,0.481902652,0.002707159,0.00330486,0.413878811,0.452918204
"HbA1c","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.015387373,0.011595611,0.184509519,0.421775355,0.00956183,0.001398285,8.03e-12,3.46e-11
"HbA1c","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.001817744,0.007434574,0.806844727,0.912310595,0.003013931,7.21759e-4,2.97e-5,6.23e-5
"HDL","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.004038888,0.011571915,0.727070707,0.87057431,-0.012640197,0.001394884,1.29e-19,1.04e-18
"HDL","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.014898866,0.007417936,0.04459173,0.170969639,-0.003072329,7.2323e-4,2.16e-5,4.61e-5
"HeartRate","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.005606137,0.007886965,0.47720211,0.716181612,0.003152154,7.69906e-4,4.24e-5,8.7e-5
"HeartRate","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.012570348,0.01235055,0.308775246,0.565807615,0.009285337,0.001489502,4.56e-10,1.67e-9
"Hypertention","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.010906075,0.017949622,0.54296847,0.763676867,0.007290555,0.001716223,2.46e-5,5.22e-5
"Hypertention","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.054665632,0.027681222,0.049089021,0.183318555,0.006973727,0.003343802,0.038118222,0.049278513
"IGF1","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.007905675,0.011814701,0.503407322,0.73646827,-0.007072448,0.001424231,6.84e-7,1.75e-6
"IGF1","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.013117964,0.007591355,0.083986533,0.260719579,-0.002848796,7.39005e-4,1.15791e-4,2.22671e-4
"Irritability","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.013447587,0.017506819,0.442881268,0.688429982,0.001283853,0.001699584,0.450727963,0.489010417
"Irritability","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.015114814,0.027564344,0.583875412,0.789145878,-0.002805445,0.003341627,0.399348846,0.438412359
"LDL","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.003512909,0.007845197,0.654313438,0.829530241,-0.002792317,7.63531e-4,2.55107e-4,4.64951e-4
"LDL","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",0.006298524,0.012202037,0.60572459,0.799703511,-0.006198164,0.001471553,2.53e-5,5.36e-5
"Loneliness","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",-0.004018527,0.019597529,0.837377634,0.927085672,0.014747411,0.001806672,9.8e-16,5.75e-15
"Loneliness","Brain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.033306698,0.030782375,0.277080648,0.532030557,0.03142735,0.003366035,1.03e-19,8.37e-19
"Menarche","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.007945998,0.016673462,0.633671933,0.817056768,-3.42064e-4,0.002110894,0.87126891,0.885030196
"Menarche","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.011744348,0.010748216,0.274536006,0.529664354,9.65292e-4,0.001036594,0.351743156,0.390145828
"Menopause","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DEL",-0.004176192,0.02194006,0.849038662,0.933261015,-0.005588697,0.002831147,0.048383226,0.061601367
"Menopause","NonBrain","adipose_tissue","Tissue_Fantom60","NonBrain",NA,"other","DUP",0.025482332,0.014018203,0.069096448,0.229267533,-0.005134556,0.001297703,7.6e-5,1.50608e-4
